codigo;codbarras;descrip;exisMerida;exisCaracas;exisOriente;marca;Precio;Oferta;Grupo;Vence;Principio;Escala;DescXEscala;Bonifica;CantBonifica
800770;7597758000770;ACETAMINOFEN 125 MG SUPOSITORIOS X 6 ALESS;202;440;259;ALESS;63.07;63.07;ESPECIALES;2025-11-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
17778;7591585177780;ACETAMINOFEN 180MG/5ML JBE X 90ML GENVEN;1851;1365;331;GENVEN;70.38;70.38;MEDICAMENTOS;2026-01-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
800787;7597758000787;ACETAMINOFEN 250 MG SUPOSITORIOS X 6 ALESS;169;431;269;ALESS;74.12;74.12;ESPECIALES;2025-11-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
141834;7592454003384;ACETAMINOFEN 500 MG DISP X 100 TAB LA SANTE;29;3;60;LA SANTE;236.02;236.02;MEDICAMENTOS;2025-01-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
37665;7591585376657;ACETAMINOFEN 500 MG X 10 COMP GENVEN;0;1565;998;LETI;26.44;26.44;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
07539;;ACETAMINOFEN 500 MG X 10 PROFARMACOS;0;0;92;PROFARMACOS;13.56;13.56;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
70120;7594000850626;ACETAMINOFEN 500MG TAB X 12 BIOQUIMICA;0;0;12;BIOQUIMICA;26.70;26.70;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
70019;7594000850633;ACETAMINOFEN 500MG TAB X 24 BIOQUIMICA;0;0;46;BIOQUIMICA;48.37;48.37;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
6601003;7591519004144;ACETAMINOFEN 500MG X 10 TAB  CALOX;590;430;210;CALOX;33.63;33.63;MEDICAMENTOS;2026-09-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
106311;18906047595013;ACETAMINOFEN 500MG X 100 TAB JMW;0;1;0;JMW;98.75;98.75;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
720105;720524031105;ACETAMINOFEN 500MG X 100 TAB LATTAN;76;0;120;LATTAN;108.36;108.36;MEDICAMENTOS;2024-12-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
140216;7592454000031;ACETAMINOFEN 500MG X 20 TAB   LA SANTE;0;0;1;LA SANTE;54.45;54.45;MEDICAMENTOS;2025-10-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
55986;7597758000596;ACETAMINOFEN 500MG X 20 TAB ALESS;2426;1079;353;ALESS;27.99;27.99;ESPECIALES;2025-04-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
6601005;7591519005264;ACETAMINOFEN 650MG X 10 TAB  CALOX;631;656;276;CALOX;38.24;38.24;MEDICAMENTOS;2026-12-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
6601015;7591519001228;ACETAMINOFEN 650MG X 10 TAB (MOROCHO) CALOX;0;0;87;CALOX;43.70;43.70;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
1061686;18906047594863;ACETAMINOFEN 650MG X 100 TAB JMW;0;0;37;JMW;136.55;136.55;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
37905;7591585479051;ACETAMINOFEN 650MG X 8 BLIST X 10 COMP LETI;102;116;26;LETI;210.94;210.94;MEDICAMENTOS;2026-01-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
07538;7594000850855;ACETAMINOFEN JBE 120MG/5ML X 100ML BIOQUIMICA;1425;1398;393;BIOQUIMICA;76.60;76.60;MEDICAMENTOS;2026-11-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
142748;7592454003100;ACETAMINOFEN JBE PED 150/5ML X120ML  LA SANTE;0;0;82;LA SANTE;89.71;89.71;MEDICAMENTOS;2025-09-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
55985;7597758000459;ACETAMINOFEN JBE PED 180/5ML X120ML ALESS;3288;1870;238;ALESS;65.07;65.07;ESPECIALES;2025-06-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
92204;7594000850824;ACETAMINOFEN JBE. 180MG X 120ML BIOQUIMICA;1580;431;237;BIOQUIMICA;88.69;88.69;MEDICAMENTOS;2026-11-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
301489;7598981001176;ACETAMINOFEN SUSP ORAL  120MG/5MG X 60ML JMW;200;189;289;UNILINK PHARMA;45.57;45.57;MEDICAMENTOS;2026-05-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
057184;6942189530159;ACETAMINOFEN SUSP ORAL 125MG/5ML X 60 ML KMPL;24;0;0;KMPLUS;65.45;65.45;MEDICAMENTOS;2024-12-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
1064132;7598981000582;ACETAMINOFEN SUSPENSION 125 MG /5ML X60 JMW;1851;1161;980;UNILINK PHARMA;58.70;58.70;MEDICAMENTOS;2025-08-25;PARACETAMOL;0.00;0.00;0.000;0.000
057573;6921875008530;ACETAMINOFEN TAB 500 MG X 10 KMPLUS;675;348;68;KMPLUS;19.97;19.97;MEDICAMENTOS;2025-10-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
11552;7594001101604;ACETAMINOFEN TAB 650MG X 10 PLUSANDEX;75;597;0;PLUSANDEX;28.78;28.78;MEDICAMENTOS;2025-04-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
16001;7591519008494;ACETAMINOFEN-TRAMADOL 325/37,5mg x10 TA CALOX;343;480;433;CALOX;90.07;90.07;ESTUPEFACIENTE;2027-02-25;ACETAMINOFEN -TRAMADOL CLORHIDRATO ;0.00;0.00;0.000;0.000
76522;7591196006516;ACETAMINOFENO 500MG X10 TAB OFTALMI;184;72;0;OFTALMI;27.68;27.68;MEDICAMENTOS;2026-12-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
76523;7591196006523;ACETAMINOFENO 500MG X30 TAB OFTALMI;172;198;228;OFTALMI;71.75;71.75;MEDICAMENTOS;2026-11-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
05302;7592806121018;ACETOBEN FRASCO 120 ML RONAVA;135;30;23;RONAVA;180.60;180.60;MEDICAMENTOS;2026-10-25;GUAIFENESINA;0.00;0.00;0.000;0.000
100340;7591020006156;ACEVAL 100MG/ML X 30ML GTAS  VALMOR;305;104;177;VALMOR;114.65;114.65;MEDICAMENTOS;2025-06-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
100333;7591020008839;ACEVAL 180MG/5ML X 120ML SOL VALMOR;821;162;113;VALMOR;119.80;119.80;MEDICAMENTOS;2025-03-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
37536;7591020000611;ACEVAL 650MG X 10 TAB VALMOR;1009;591;425;VALMOR;52.89;52.89;MEDICAMENTOS;2027-08-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
100332;7591020008471;ACEVAL 650MG X 50 TAB VALMOR;90;85;161;VALMOR;224.63;224.63;MEDICAMENTOS;2027-08-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
100353;7591020009423;ACEVAL DIA ANTIG. 650MG X 20MG X 2MG 8 TAB VA;272;346;170;VALMOR;73.01;73.01;MEDICAMENTOS;2025-06-25;;0.00;0.00;0.000;0.000
100354;7591020009430;ACEVAL NOCHE ANTIG. 650MG X 4MG 6 TAB VALMOR;253;347;195;VALMOR;73.01;73.01;MEDICAMENTOS;2025-06-25;;0.00;0.00;0.000;0.000
11183;7591585111838;ACICLOR  TAB 1G X 10 LETI AP;35;72;47;LETI;665.80;665.80;MEDICAMENTOS;2026-09-25;ACICLOVIR ;0.00;0.00;0.000;0.000
05643;7591585311634;ACICLOR 5% CREMA X10G GENVEN;24;46;38;GENVEN;231.37;231.37;MEDICAMENTOS;2025-10-25;ACICLOVIR ;0.00;0.00;0.000;0.000
224251;8904306503475;ACICLOVIR (PRISMAVIR) 200 MG X 100 TAB PRISM;0;0;6;PRISM;355.05;355.05;MEDICAMENTOS;NULL;ACICLOVIR ;0.00;0.00;0.000;0.000
656595;7750215001905;ACICLOVIR 0,05% CREMA X 5G PORTUGAL;0;1;0;PORTUGAL;116.37;116.37;MEDICAMENTOS;NULL;ACICLOVIR ;0.00;0.00;0.000;0.000
49010;7591519005639;ACICLOVIR 200 MG TAB X 25 CALOX;198;74;72;CALOX;176.39;176.39;MEDICAMENTOS;2027-01-25;ACICLOVIR ;0.00;0.00;0.000;0.000
565635;7750215003602;ACICLOVIR 200 MG X 100 TAB  PORTUGAL;0;6;0;PORTUGAL;386.27;386.27;MEDICAMENTOS;NULL;ACICLOVIR ;0.00;0.00;0.000;0.000
44012002;7591519001099;ACICLOVIR 5% X CREMA TOPICA CALOX;68;0;50;CALOX;160.37;160.37;MEDICAMENTOS;2025-10-25;ACICLOVIR ;0.00;0.00;0.000;0.000
34825;7592348201117;ACICLOVIR 50MG CREMA TOPICA X 20G POLINAC;22;0;0;POLINAC;240.25;240.25;MEDICAMENTOS;2026-05-25;ACICLOVIR ;0.00;0.00;0.000;0.000
057182;6942189211324;ACICLOVIR CREM TOP 5% X 5 G KMPLUS;528;433;382;KMPLUS;54.91;54.91;MEDICAMENTOS;2026-09-25;ACICLOVIR ;0.00;0.00;0.000;0.000
301170;7598981002029;ACICLOVIR CREMA 5% X 15 GR JMW;145;316;418;UNILINK PHARMA;95.86;95.86;MEDICAMENTOS;2024-12-25;ACICLOVIR ;0.00;0.00;0.000;0.000
106110;7467922682173;ACIDO ACETISAL (NORPRIM) 81MG X 100TAB FARQUI;211;256;0;FARQUI;124.60;124.60;MEDICAMENTOS;2025-09-25;ACIDO ACETILSALICILICO;0.00;0.00;0.000;0.000
50282-1;8904159499772;ACIDO ASCORBICO 100MG ML X 10 AMP ADN;201;19;0;ADN MEDICAL;308.88;293.44;INYECTABLES;2024-08-25;VITAMINA C;1.00;5.00;0.000;0.000
70490;7594000850282;ACIDO ASCORBICO 100MG/5ML 30ML BIOQUIMICA;0;49;65;BIOQUIMICA;96.75;96.75;MEDICAMENTOS;NULL;VITAMINA C;0.00;0.00;0.000;0.000
210323;1759825210;ACIDO ASCORBICO 500MG/5ML X 10 AMP DISTRILAB;16;40;0;DISTRILAB;243.01;243.01;INYECTABLES;2025-03-25;VITAMINA C;0.00;0.00;0.000;0.000
56378;7599028000572;ÁCIDO BÓRICO 20 G LYA;238;100;140;LYA;54.32;54.32;PATENTADOS NATURALES;2026-11-25;ACIDO BORICO;0.00;0.00;0.000;0.000
1064277;8904180211565;ACIDO FOLICO (CIDOFOL) 5MG/ML X10 AMP SOL INY;763;781;366;JMW;470.20;470.20;INYECTABLES;2024-07-25;ACIDO FOLICO;0.00;0.00;1.000;1.000
10026;7591020004985;ACIDO FOLICO 10 MG / ML GTAS X 15ML GENCER;0;0;1;GENCER;177.83;177.83;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;0.000;0.000
00026;7591619501031;ACIDO FOLICO 10 MG / ML GTAS X 15ML KLINOS;587;374;200;KLINOS;225.75;225.75;MEDICAMENTOS;2026-10-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
17149;7591585171498;ACIDO FOLICO 10 MG X 20 TAB GENVEN;0;308;465;GENVEN;37.23;37.23;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;0.000;0.000
95476;7594001101338;ACIDO FOLICO 10MG TAB X 20 PLUSANDEX;503;301;1;PLUSANDEX;37.15;37.15;MEDICAMENTOS;2026-11-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
230119;;ACIDO FOLICO 10MG/2ML IM/IV X 10 AMP GLOBAL M;0;0;2;GLOBAL MEDIC;667.57;634.19;INYECTABLES;NULL;ACIDO FOLICO;1.00;5.00;0.000;0.000
230120;;ACIDO FOLICO 10MG/2ML IM/IV X 1AMP GLOBAL MED;407;207;0;GLOBAL MEDIC;66.76;63.42;INYECTABLES;2025-07-25;ACIDO FOLICO;1.00;5.00;0.000;0.000
40391;7592601303190;ACIDO FOLICO 5 MG X 10 TAB MEYER;0;1;0;MEYER;11.88;11.88;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;0.000;0.000
40390;7592601300014;ACIDO FOLICO 5 MG X 20 TAB MEYER;0;0;0;MEYER;20.95;20.95;MEDICAMENTOS;2025-06-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
201031;7594001101314;ACIDO FOLICO 5 MG X 30 TAB  PLUSANDEX;278;257;0;PLUSANDEX;46.44;46.44;MEDICAMENTOS;2027-06-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
42449;7598981002449;ACIDO FOLICO 5 MG X 30 TAB JMW;1147;971;795;UNILINK PHARMA;39.96;39.96;MEDICAMENTOS;2025-05-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
31103;7592601301479;ACIDO FOLICO 5 MG X 30 TAB MEYER;0;0;2;MEYER;33.52;33.52;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;0.000;0.000
141201;17598252101571;ACIDO FOLICO AMP 10MG/2ML X 10 AMP DISTRILAB;74;0;3;DISTRILAB;444.09;444.09;INYECTABLES;2024-06-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
50103;7591619501048;ACIDO FOLICO CAJA X 3AMP KLINOS;61;25;26;KLINOS;300.57;300.57;INYECTABLES;2024-07-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
160214;7598813000339;ACIDO FOLICO COMP 10 MG X 10 TAB MM;119;115;110;KWALITY PHARMACEUTICAL INDIA;26.97;26.97;MEDICAMENTOS;2025-12-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
78536;7592349926194;ACIDO FOLICO COMP 10 MG X 20 G.C;0;624;48;GENERICOS DE CALIDAD;46.59;46.59;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;0.000;0.000
00024;7591619501024;ACIDO FOLICO COMP 10 MG X 20 KLINOS;1307;1477;716;KLINOS;64.50;64.50;MEDICAMENTOS;2027-07-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
92619;;ACIDO FOLICO COMP 10 MG X 20 VARGAS;96;0;0;OTROS;90.60;90.60;MEDICAMENTOS;2026-08-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
98644;7591519004892;ACIDO FOLICO COMP 10MG X 20 CALOX;254;294;128;CALOX;47.97;47.97;MEDICAMENTOS;2027-01-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
08535;7591020008174;ACIDO FOLICO COMP 10MG X 30 GENCER;1080;352;182;GENCER;81.90;81.90;MEDICAMENTOS;2027-03-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
98532;7592601301486;ACIDO FOLICO COMP 10MG X 30 MEYER;0;0;336;MEYER;33.53;33.53;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;0.000;0.000
9701008;7591519001112;ACIDO FOLICO COMP 10MG X 30 TAB CALOX;421;448;330;CALOX;55.22;55.22;MEDICAMENTOS;2026-07-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
121212;7591619501017;ACIDO FOLICO COMP 5 MG X 20 KLINOS;51;192;172;KLINOS;41.28;41.28;MEDICAMENTOS;2028-07-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
20198;7591619000213;ACIDO FOLICO COMP 5 MG X 30 KLINOS;0;1;0;KLINOS;60.63;60.63;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;0.000;0.000
02805;7591585271488;ACIDO FOLICO COMP 5MG X 30 GENVEN;200;84;148;GENVEN;51.50;51.50;MEDICAMENTOS;2026-01-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
92779;7592601300779;ACIDO FOLICO GOTAS  X 15 ML MEYER;245;521;254;MEYER;202.14;202.14;MEDICAMENTOS;2025-12-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
291123;7598981001138;ACIDO FOLICO IM/IV 10MG/2ML X 10 AMP JMW;182;119;118;RAY LIFE SCIENCES;243.56;243.56;INYECTABLES;2026-02-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
92858;7594001101345;ACIDO FOLICO TAB  10MG X 30 PLUSANDEX;786;865;0;PLUSANDEX;51.08;51.08;MEDICAMENTOS;2027-02-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
1062825;18906047595709;ACIDO SALICILICO UNGÜENTO 6% 20G JMW;142;146;386;UNILINK PHARMA;127.89;127.89;MEDICAMENTOS;2025-02-25;ACIDO SALICILICO ;0.00;0.00;0.000;0.000
1062739;18906047595532;ACIDO TRANEXAMICO 500MG X 100 TABLETAS JMW;0;0;74;JMW;973.32;973.32;INYECTABLES;NULL;ACIDO TRANEXAMICO ;0.00;0.00;0.000;0.000
2024;7467922680018;ACIFAR (ANTIACIDO) SUSP ORAL MENTA 150 ML JMW;473;382;338;FARQUI;304.22;304.22;MEDICAMENTOS;2026-11-25;ALUMINIUM+MAGNESIUM+SIMETICONA;0.00;0.00;0.000;0.000
08026;7591519051865;ACLER 150MG X 1 TAB MCK;230;222;73;MCK;184.69;184.69;MEDICAMENTOS;2025-07-25;ACIDO IBANDRONICO ;0.00;0.00;0.000;0.000
779249;7795368002249;ACRYLARM (ACIDO POLIA) GEL 0.2% X10G POEN;90;0;20;POEN;828.17;828.17;MEDICAMENTOS;2026-08-25;ADAPALENO+CLINDAMICINA;0.00;0.00;0.000;0.000
3014822;7841134017822;ACUAFIL(DEXTRAN+HIDROXIPR)0.1%0.05SOL OFT10ML;39;48;48;JMW;197.02;197.02;MEDICAMENTOS;2025-10-25;HIDROXIPROPIL METILCELULOSA;0.00;0.00;0.000;0.000
174593;7591309003692;ADEL UNGUENTO 50GR PYB;0;79;781;PONCE Y BENZO;136.26;136.26;MEDICAMENTOS;NULL;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
00153;7591844000712;ADEMINA GEL ANTIBACTERIAL 100ML ETIFAR;20;77;63;ETIFAR;64.50;64.50;MEDICAMENTOS;2025-09-25;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
00151;7591844000743;ADEMINA KIDS LOC HIDRAT BLANCA 170GR ETIFAR;38;0;40;ETIFAR;99.33;99.33;MISCELANEOS;2026-07-25;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
00152;7591844000750;ADEMINA KIDS LOC HIDRAT ROSADA 170GR ETIFAR;11;47;50;ETIFAR;99.33;99.33;MISCELANEOS;2026-07-25;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
00154;7591844000729;ADEMINA KIDS REVITAL.CAPILAR 200ML ROS ETIFAR;17;26;53;ETIFAR;77.40;77.40;MISCELANEOS;2026-04-25;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
00146;7591844000583;ADEMINA KIDS X 60GR ETIFAR;0;0;1;ETIFAR;154.80;154.80;MEDICAMENTOS;2026-04-25;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
100147;7591844000439;ADEMINA PLUS 30GR ETIFAR;0;0;102;ETIFAR;135.45;135.45;MEDICAMENTOS;NULL;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
000150;7591844000606;ADEMINA SOL.JAB. 190CC. ETIFAR;7;103;140;ETIFAR;66.42;66.42;MISCELANEOS;2026-09-25;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
10016;7597467001570;ADH DURAPOR 2X10YDS PLASTIC COVER 1X6PROMEINT;6;50;17;PLUSMEDIC;853.22;853.22;MISCELANEOS;2027-04-25;;0.00;0.00;0.000;0.000
10019;7597467001617;ADH MICROP. 2X10YDS PLASTIC COVER 1X6PROTEINT;17;5;8;PLUSMEDIC;534.25;534.25;DESCARTABLES;2025-04-25;;0.00;0.00;0.000;0.000
29017;7597467001600;ADH MICROP.1/2X10YDS PLASTIC COVE 1X24PROTEIN;19;3;10;PLUSMEDIC;734.35;734.35;MISCELANEOS;2025-04-25;;0.00;0.00;0.000;0.000
10018;7597467001594;ADH MICROP.1X10 YDS PLASTIC COVER1X12 PROTEIN;43;10;9;PLUSMEDIC;617.06;617.06;DESCARTABLES;2025-04-25;;0.00;0.00;0.000;0.000
23022;7597467001655;ADH TRANS. 2X10 YDS PLASTIC COVER 1X6 PROTEIN;27;24;12;PLUSMEDIC;598.71;598.71;MISCELANEOS;2027-04-25;;0.00;0.00;0.000;0.000
10021;7597467001631;ADH TRANS.1X10 YDS PLASTIC COVER 1X12 PROTEIN;23;13;13;PLUSMEDIC;598.18;598.18;DESCARTABLES;2025-04-25;;0.00;0.00;0.000;0.000
8610020;7597467001648;ADH TRANSP.1/2X10 YDS PLASTIC COVE 1X24PROME.;26;6;13;PLUSMEDIC;773.67;773.67;DESCARTABLES;2027-04-25;;0.00;0.00;0.000;0.000
23015;7597467001587;ADH.DURAPOR 1X10 YDS PLASTIC COVER X12PROMEIN;2;0;6;PLUSMEDIC;948.31;948.31;MISCELANEOS;2027-04-25;;0.00;0.00;0.000;0.000
168083-1;7597467000641;ADHESIVO DURAPORE 2¨X5 YDS CAJA X6 PROMEINT;24;15;33;PROMEINT;628.49;628.49;DESCARTABLES;2028-08-25;;0.00;0.00;0.000;0.000
168081-1;7597467000665;ADHESIVO MICROPORE 1¨X5 YDS CAJA X12 PROMEI;95;32;36;PROMEINT;497.35;497.35;DESCARTABLES;2026-06-25;;0.00;0.00;0.000;0.000
168084-1;7597467000672;ADHESIVO MICROPORE 2¨X5 YDS CAJA X 6 PROMEINT;55;50;0;PROMEINT;497.16;497.16;DESCARTABLES;2028-06-25;;0.00;0.00;0.000;0.000
